CAL, CO, DATE, DESCR
AUSY, , 01/01/2010, New Year's Day
AUSY, , 01/01/2013, New Year's Day
AUSY, , 01/01/2014, New Year's Day
AUSY, , 01/01/2015, New Year's Day
AUSY, , 01/01/2016, New Year's Day
AUSY, , 01/01/2018, New Year's Day
AUSY, , 01/01/2019, New Year's Day
AUSY, , 01/01/2020, New Year's Day
AUSY, , 01/01/2021, New Year's Day
AUSY, , 01/01/2024, New Year's Day
AUSY, , 01/01/2025, New Year's Day
AUSY, , 01/01/2026, New Year's Day
AUSY, , 01/01/2027, New Year's Day
AUSY, , 01/01/2029, New Year's Day
AUSY, , 01/01/2030, New Year's Day
AUSY, , 01/01/2031, New Year's Day
AUSY, , 01/01/2032, New Year's Day
AUSY, , 01/01/2035, New Year's Day
AUSY, , 01/01/2036, New Year's Day
AUSY, , 01/01/2037, New Year's Day
AUSY, , 01/01/2038, New Year's Day
AUSY, , 01/01/2041, New Year's Day
AUSY, , 01/01/2042, New Year's Day
AUSY, , 01/01/2043, New Year's Day
AUSY, , 01/01/2044, New Year's Day
AUSY, , 01/01/2046, New Year's Day
AUSY, , 01/01/2047, New Year's Day
AUSY, , 01/01/2048, New Year's Day
AUSY, , 01/01/2049, New Year's Day
AUSY, , 01/01/2052, New Year's Day
AUSY, , 01/01/2053, New Year's Day
AUSY, , 01/01/2054, New Year's Day
AUSY, , 01/01/2055, New Year's Day
AUSY, , 01/01/2057, New Year's Day
AUSY, , 01/01/2058, New Year's Day
AUSY, , 01/01/2059, New Year's Day
AUSY, , 01/01/2060, New Year's Day
AUSY, , 01/01/2063, New Year's Day
AUSY, , 01/02/2012, New Year's Day OBS
AUSY, , 01/02/2017, New Year's Day OBS
AUSY, , 01/02/2023, New Year's Day OBS
AUSY, , 01/02/2034, New Year's Day OBS
AUSY, , 01/02/2040, New Year's Day OBS
AUSY, , 01/02/2045, New Year's Day OBS
AUSY, , 01/02/2051, New Year's Day OBS
AUSY, , 01/02/2062, New Year's Day OBS
AUSY, , 01/03/2011, New Year's Day OBS
AUSY, , 01/03/2022, New Year's Day OBS
AUSY, , 01/03/2028, New Year's Day OBS
AUSY, , 01/03/2033, New Year's Day OBS
AUSY, , 01/03/2039, New Year's Day OBS
AUSY, , 01/03/2050, New Year's Day OBS
AUSY, , 01/03/2056, New Year's Day OBS
AUSY, , 01/03/2061, New Year's Day OBS
AUSY, , 01/26/2010, Australia Day
AUSY, , 01/26/2011, Australia Day
AUSY, , 01/26/2012, Australia Day
AUSY, , 01/26/2015, Australia Day
AUSY, , 01/26/2016, Australia Day
AUSY, , 01/26/2017, Australia Day
AUSY, , 01/26/2018, Australia Day
AUSY, , 01/26/2021, Australia Day
AUSY, , 01/26/2022, Australia Day
AUSY, , 01/26/2023, Australia Day
AUSY, , 01/26/2024, Australia Day
AUSY, , 01/26/2026, Australia Day
AUSY, , 01/26/2027, Australia Day
AUSY, , 01/26/2028, Australia Day
AUSY, , 01/26/2029, Australia Day
AUSY, , 01/26/2032, Australia Day
AUSY, , 01/26/2033, Australia Day
AUSY, , 01/26/2034, Australia Day
AUSY, , 01/26/2035, Australia Day
AUSY, , 01/26/2037, Australia Day
AUSY, , 01/26/2038, Australia Day
AUSY, , 01/26/2039, Australia Day
AUSY, , 01/26/2040, Australia Day
AUSY, , 01/26/2043, Australia Day
AUSY, , 01/26/2044, Australia Day
AUSY, , 01/26/2045, Australia Day
AUSY, , 01/26/2046, Australia Day
AUSY, , 01/26/2049, Australia Day
AUSY, , 01/26/2050, Australia Day
AUSY, , 01/26/2051, Australia Day
AUSY, , 01/26/2052, Australia Day
AUSY, , 01/26/2054, Australia Day
AUSY, , 01/26/2055, Australia Day
AUSY, , 01/26/2056, Australia Day
AUSY, , 01/26/2057, Australia Day
AUSY, , 01/26/2060, Australia Day
AUSY, , 01/26/2061, Australia Day
AUSY, , 01/26/2062, Australia Day
AUSY, , 01/26/2063, Australia Day
AUSY, , 01/27/2014, Australia Day OBS
AUSY, , 01/27/2020, Australia Day OBS
AUSY, , 01/27/2025, Australia Day OBS
AUSY, , 01/27/2031, Australia Day OBS
AUSY, , 01/27/2042, Australia Day OBS
AUSY, , 01/27/2048, Australia Day OBS
AUSY, , 01/27/2053, Australia Day OBS
