ID,Exchange,Commodity,Year,Month,Contract,FutureTicker,OptionTicker,FutureExpiry,OptionExpiry
1,CBOT,C,2013,8,Q13,,,2013-08-14,2013-07-26
2,CBOT,C,2013,9,U13,,,2013-09-13,2013-08-23
3,CBOT,C,2013,10,V13,,,2013-10-11,2013-09-20
4,CBOT,C,2013,11,X13,,,2013-11-14,2013-10-25
5,CBOT,C,2013,12,Z13,,,2013-12-13,2013-11-22
6,CBOT,C,2014,1,F14,,,2014-01-14,2013-12-27
7,CBOT,C,2014,2,G14,,,2014-02-14,2014-01-24
8,CBOT,C,2014,3,H14,,,2014-03-14,2014-02-21
9,CBOT,C,2014,4,J14,,,2014-04-14,2014-03-21
10,CBOT,C,2014,5,K14,,,2014-05-14,2014-04-25
11,CBOT,C,2014,6,M14,,,2014-06-13,2014-05-23
12,CBOT,C,2014,7,N14,,,2014-07-14,2014-06-20
13,CBOT,C,2014,8,Q14,,,2014-08-14,2014-07-25
14,CBOT,C,2014,9,U14,,,2014-09-12,2014-08-22
15,CBOT,C,2014,10,V14,,,2014-10-14,2014-09-26
16,CBOT,C,2014,11,X14,,,2014-11-14,2014-10-24
17,CBOT,C,2014,12,Z14,,,2014-12-12,2014-11-21
18,CBOT,C,2015,1,F15,,,2015-01-14,2014-12-26
19,CBOT,C,2015,2,G15,,,2015-02-13,2015-01-23
20,CBOT,C,2015,3,H15,,,2015-03-13,2015-02-20
21,CBOT,C,2015,4,J15,,,2015-04-14,2015-03-27
22,CBOT,C,2015,5,K15,,,2015-05-14,2015-04-24
23,CBOT,C,2015,6,M15,,,2015-06-12,2015-05-22
24,CBOT,C,2015,7,N15,,,2015-07-14,2015-06-26
25,CBOT,C,2015,8,Q15,,,2015-08-14,2015-07-24
26,CBOT,C,2015,9,U15,,,2015-09-14,2015-08-21
27,CBOT,C,2015,10,V15,,,2015-10-14,2015-09-25
28,CBOT,C,2015,11,X15,,,2015-11-13,2015-10-23
29,CBOT,C,2015,12,Z15,,,2015-12-14,2015-11-20
30,CBOT,C,2016,1,F16,,,2016-01-14,2015-12-24
31,CBOT,C,2016,2,G16,,,2016-02-12,2016-01-22
32,CBOT,C,2016,3,H16,,,2016-03-14,2016-02-19
33,CBOT,C,2016,4,J16,,,2016-04-14,2016-03-25
34,CBOT,C,2016,5,K16,,,2016-05-13,2016-04-22
35,CBOT,C,2016,6,M16,,,2016-06-14,2016-05-20
36,CBOT,C,2016,7,N16,,,2016-07-14,2016-06-24
37,CBOT,C,2016,8,Q16,,,2016-08-12,2016-07-22
38,CBOT,C,2016,9,U16,,,2016-09-14,2016-08-26
39,CBOT,C,2016,10,V16,,,2016-10-14,2016-09-23
40,CBOT,C,2016,11,X16,,,2016-11-14,2016-10-21
41,CBOT,C,2016,12,Z16,,,2016-12-14,2016-11-25
42,CBOT,C,2017,1,F17,,,2017-01-13,2016-12-23
43,CBOT,C,2017,2,G17,,,2017-02-14,2017-01-27
44,CBOT,C,2017,3,H17,,,2017-03-14,2017-02-24
45,CBOT,C,2017,4,J17,,,2017-04-14,2017-03-24
46,CBOT,C,2017,5,K17,,,2017-05-12,2017-04-21
47,CBOT,C,2017,6,M17,,,2017-06-14,2017-05-26
48,CBOT,C,2017,7,N17,,,2017-07-14,2017-06-23
49,CBOT,C,2017,8,Q17,,,2017-08-14,2017-07-21
50,CBOT,C,2017,9,U17,,,2017-09-14,2017-08-25
51,CBOT,C,2017,10,V17,,,2017-10-13,2017-09-22
52,CBOT,C,2017,11,X17,,,2017-11-14,2017-10-27
53,CBOT,C,2017,12,Z17,,,2017-12-14,2017-11-24
54,CBOT,C,2018,1,F18,,,2018-01-12,2017-12-22
55,CBOT,C,2018,2,G18,,,2018-02-14,2018-01-26
56,CBOT,C,2018,3,H18,,,2018-03-14,2018-02-23
57,CBOT,C,2018,4,J18,,,2018-04-13,2018-03-23
58,CBOT,C,2018,5,K18,,,2018-05-14,2018-04-20
59,CBOT,C,2018,6,M18,,,2018-06-14,2018-05-25
60,CBOT,C,2018,7,N18,,,2018-07-13,2018-06-22
61,CBOT,C,2018,8,Q18,,,2018-08-14,2018-07-27
62,CBOT,C,2018,9,U18,,,2018-09-14,2018-08-24
63,CBOT,C,2018,10,V18,,,2018-10-12,2018-09-21
64,CBOT,C,2018,11,X18,,,2018-11-14,2018-10-26
65,CBOT,C,2018,12,Z18,,,2018-12-14,2018-11-23
66,CBOT,C,2019,1,F19,,,2019-01-14,2018-12-21
67,CBOT,C,2019,2,G19,,,2019-02-14,2019-01-25
68,CBOT,C,2019,3,H19,,,2019-03-14,2019-02-22
69,CBOT,C,2019,4,J19,,,2019-04-12,2019-03-22
70,CBOT,C,2019,5,K19,,,2019-05-14,2019-04-26
71,CBOT,C,2019,6,M19,,,2019-06-14,2019-05-24
72,CBOT,C,2019,7,N19,,,2019-07-12,2019-06-21
73,CBOT,C,2019,8,Q19,,,2019-08-14,2019-07-26
74,CBOT,C,2019,9,U19,,,2019-09-13,2019-08-23
75,CBOT,C,2019,10,V19,,,2019-10-11,2019-09-20
76,CBOT,C,2019,11,X19,,,2019-11-14,2019-10-25
77,CBOT,C,2019,12,Z19,,,2019-12-13,2019-11-22
78,CBOT,C,2020,1,F20,,,2020-01-14,2019-12-27
79,CBOT,C,2020,2,G20,,,2020-02-14,2020-01-24
80,CBOT,C,2020,3,H20,,,2020-03-13,2020-02-21
